CSA,CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021
104,,,,"Albany-Schenectady, NY",Combined Statistical Area,1190727,1189485,1190312,-1242,827,2785,10726,3237,13521,-452,-2795,7,561,-749,2906,-742,3467,-48,155
104,10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899262,898561,899286,-701,725,2110,8239,2282,9721,-172,-1482,8,504,-510,1572,-502,2076,-27,131
104,10580,,36001,"Albany County, NY",County or equivalent,314848,314368,313743,-480,-625,691,2795,794,3197,-103,-402,9,275,-380,-561,-371,-286,-6,63
104,10580,,36083,"Rensselaer County, NY",County or equivalent,161130,160923,160232,-207,-691,407,1510,399,1913,8,-403,2,72,-214,-387,-212,-315,-3,27
104,10580,,36091,"Saratoga County, NY",County or equivalent,235509,235689,237359,180,1670,529,1966,551,2472,-22,-506,0,64,213,2101,213,2165,-11,11
104,10580,,36093,"Schenectady County, NY",County or equivalent,158061,157861,158089,-200,228,417,1729,449,1751,-32,-22,-2,91,-163,129,-165,220,-3,30
104,10580,,36095,"Schoharie County, NY",County or equivalent,29714,29720,29863,6,143,66,239,89,388,-23,-149,-1,2,34,290,33,292,-4,0
104,11220,,,"Amsterdam, NY",Micropolitan Statistical Area,49532,49433,49558,-99,125,141,588,167,642,-26,-54,0,22,-72,152,-72,174,-1,5
104,11220,,36057,"Montgomery County, NY",County or equivalent,49532,49433,49558,-99,125,141,588,167,642,-26,-54,0,22,-72,152,-72,174,-1,5
104,24020,,,"Glens Falls, NY",Metropolitan Statistical Area,127039,126781,126574,-258,-207,280,1001,419,1641,-139,-640,0,13,-109,406,-109,419,-10,14
104,24020,,36113,"Warren County, NY",County or equivalent,65737,65638,65618,-99,-20,130,508,207,855,-77,-347,0,8,-14,315,-14,323,-8,4
104,24020,,36115,"Washington County, NY",County or equivalent,61302,61143,60956,-159,-187,150,493,212,786,-62,-293,0,5,-95,91,-95,96,-2,10
104,24100,,,"Gloversville, NY",Micropolitan Statistical Area,53324,53160,53116,-164,-44,132,458,190,681,-58,-223,0,2,-104,171,-104,173,-2,6
104,24100,,36035,"Fulton County, NY",County or equivalent,53324,53160,53116,-164,-44,132,458,190,681,-58,-223,0,2,-104,171,-104,173,-2,6
104,26460,,,"Hudson, NY",Micropolitan Statistical Area,61570,61550,61778,-20,228,122,440,179,836,-57,-396,-1,20,46,605,45,625,-8,-1
104,26460,,36021,"Columbia County, NY",County or equivalent,61570,61550,61778,-20,228,122,440,179,836,-57,-396,-1,20,46,605,45,625,-8,-1
106,,,,"Albuquerque-Santa Fe-Las Vegas, NM",Combined Statistical Area,1162523,1163143,1164315,620,1172,2727,10826,2973,12422,-246,-1596,61,874,845,1795,906,2669,-40,99
106,10740,,,"Albuquerque, NM",Metropolitan Statistical Area,916528,917179,918259,651,1080,2254,8857,2377,9860,-123,-1003,56,713,736,1283,792,1996,-18,87
106,10740,,35001,"Bernalillo County, NM",County or equivalent,676444,676581,674393,137,-2188,1706,6602,1775,7387,-69,-785,48,614,168,-2119,216,-1505,-10,102
106,10740,,35043,"Sandoval County, NM",County or equivalent,148834,149218,151369,384,2151,314,1341,357,1433,-43,-92,4,34,427,2219,431,2253,-4,-10
106,10740,,35057,"Torrance County, NM",County or equivalent,15045,15051,15307,6,256,45,145,46,181,-1,-36,0,8,8,286,8,294,-1,-2
106,10740,,35061,"Valencia County, NM",County or equivalent,76205,76329,77190,124,861,189,769,199,859,-10,-90,4,57,133,897,137,954,-3,-3
106,21580,,,"Española, NM",Micropolitan Statistical Area,40363,40264,40179,-99,-85,106,393,125,504,-19,-111,1,3,-80,18,-79,21,-1,5
106,21580,,35039,"Rio Arriba County, NM",County or equivalent,40363,40264,40179,-99,-85,106,393,125,504,-19,-111,1,3,-80,18,-79,21,-1,5
106,29780,,,"Las Vegas, NM",Micropolitan Statistical Area,31390,31299,31346,-91,47,54,275,94,371,-40,-96,0,23,-49,117,-49,140,-2,3
106,29780,,35033,"Mora County, NM",County or equivalent,4189,4184,4196,-5,12,12,38,16,46,-4,-8,0,0,-1,20,-1,20,0,0
106,29780,,35047,"San Miguel County, NM",County or equivalent,27201,27115,27150,-86,35,42,237,78,325,-36,-88,0,23,-48,97,-48,120,-2,3
106,31060,,,"Los Alamos, NM",Micropolitan Statistical Area,19419,19424,19330,5,-94,42,161,26,145,16,16,0,35,-11,-149,-11,-114,0,4
106,31060,,35028,"Los Alamos County, NM",County or equivalent,19419,19424,19330,5,-94,42,161,26,145,16,16,0,35,-11,-149,-11,-114,0,4
106,42140,,,"Santa Fe, NM",Metropolitan Statistical Area,154823,154977,155201,154,224,271,1140,351,1542,-80,-402,4,100,249,526,253,626,-19,0
106,42140,,35049,"Santa Fe County, NM",County or equivalent,154823,154977,155201,154,224,271,1140,351,1542,-80,-402,4,100,249,526,253,626,-19,0
107,,,,"Altoona-Huntingdon, PA",Combined Statistical Area,166914,166548,165656,-366,-892,367,1515,583,2498,-216,-983,0,10,-137,53,-137,63,-13,28
107,11020,,,"Altoona, PA",Metropolitan Statistical Area,122822,122518,121767,-304,-751,280,1167,477,1868,-197,-701,0,6,-98,-78,-98,-72,-9,22
107,11020,,42013,"Blair County, PA",County or equivalent,122822,122518,121767,-304,-751,280,1167,477,1868,-197,-701,0,6,-98,-78,-98,-72,-9,22
107,26500,,,"Huntingdon, PA",Micropolitan Statistical Area,44092,44030,43889,-62,-141,87,348,106,630,-19,-282,0,4,-39,131,-39,135,-4,6
107,26500,,42061,"Huntingdon County, PA",County or equivalent,44092,44030,43889,-62,-141,87,348,106,630,-19,-282,0,4,-39,131,-39,135,-4,6
108,,,,"Amarillo-Pampa-Borger, TX",Combined Statistical Area,311362,311361,312025,-1,664,953,3652,905,3552,48,100,-1,142,-53,451,-54,593,5,-29
108,11100,,,"Amarillo, TX",Metropolitan Statistical Area,268691,268820,269703,129,883,823,3131,753,2985,70,146,-1,139,53,630,52,769,7,-32
108,11100,,48011,"Armstrong County, TX",County or equivalent,1848,1847,1839,-1,-8,4,11,12,23,-8,-12,0,0,7,4,7,4,0,0
108,11100,,48065,"Carson County, TX",County or equivalent,5807,5808,5746,1,-62,12,44,15,70,-3,-26,0,0,4,-34,4,-34,0,-2
108,11100,,48359,"Oldham County, TX",County or equivalent,1758,1761,1717,3,-44,6,9,6,9,0,0,0,0,2,-43,2,-43,1,-1
