CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021
10180,,,"Abilene, TX",Metropolitan Statistical Area,176579,176809,177314,230,505,569,2108,510,2133,59,-25,5,73,162,436,167,509,4,21
10420,,,"Akron, OH",Metropolitan Statistical Area,702219,701305,700015,-914,-1290,1676,6883,2232,8723,-556,-1840,31,526,-365,-98,-334,428,-24,122
10500,,,"Albany, GA",Metropolitan Statistical Area,148922,148417,147773,-505,-644,424,1758,539,1835,-115,-77,0,24,-391,-608,-391,-584,1,17
10540,,,"Albany-Lebanon, OR",Metropolitan Statistical Area,128610,128936,129839,326,903,380,1430,401,1640,-21,-210,-1,7,352,1099,351,1106,-4,7
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899262,898561,899286,-701,725,2110,8239,2282,9721,-172,-1482,8,504,-510,1572,-502,2076,-27,131
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,916528,917179,918259,651,1080,2254,8857,2377,9860,-123,-1003,56,713,736,1283,792,1996,-18,87
10780,,,"Alexandria, LA",Metropolitan Statistical Area,152192,151736,150890,-456,-846,423,1820,486,2021,-63,-201,0,41,-395,-706,-395,-665,2,20
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,861889,861705,865310,-184,3605,2052,8206,2367,9672,-315,-1466,43,782,123,4195,166,4977,-35,94
11020,,,"Altoona, PA",Metropolitan Statistical Area,122822,122518,121767,-304,-751,280,1167,477,1868,-197,-701,0,6,-98,-78,-98,-72,-9,22
11100,,,"Amarillo, TX",Metropolitan Statistical Area,268691,268820,269703,129,883,823,3131,753,2985,70,146,-1,139,53,630,52,769,7,-32
11180,,,"Ames, IA",Metropolitan Statistical Area,125252,125306,126195,54,889,271,1013,219,972,52,41,13,258,-12,569,1,827,1,21
11260,,,"Anchorage, AK",Metropolitan Statistical Area,398328,398097,398807,-231,710,1296,5048,770,2997,526,2051,15,331,-796,-1631,-781,-1300,24,-41
11460,,,"Ann Arbor, MI",Metropolitan Statistical Area,372258,371656,369390,-602,-2266,895,3367,745,3020,150,347,15,375,-779,-3019,-764,-2644,12,31
11500,,,"Anniston-Oxford, AL",Metropolitan Statistical Area,116441,116266,115972,-175,-294,311,1320,409,1712,-98,-392,1,4,-74,70,-73,74,-4,24
11540,,,"Appleton, WI",Metropolitan Statistical Area,243147,243308,244084,161,776,685,2532,536,2207,149,325,0,51,10,354,10,405,2,46
11700,,,"Asheville, NC",Metropolitan Statistical Area,469015,469454,472341,439,2887,964,3987,1579,6289,-615,-2302,1,134,1090,5060,1091,5194,-37,-5
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,215415,215638,217759,223,2121,546,2063,417,1802,129,261,5,134,84,1730,89,1864,5,-4
12060,,,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,6089815,6101146,6144050,11331,42904,16645,68252,11892,50454,4753,17798,391,5691,5888,19358,6279,25049,299,57
12100,,,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,274534,274191,274966,-343,775,648,2740,790,3193,-142,-453,1,179,-191,1005,-190,1184,-11,44
12220,,,"Auburn-Opelika, AL",Metropolitan Statistical Area,174241,174601,177218,360,2617,432,1813,368,1483,64,330,5,123,283,2154,288,2277,8,10
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,611000,611720,615933,720,4213,1643,6953,1685,7081,-42,-128,12,106,752,4226,764,4332,-2,9
12420,,,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,2283371,2299125,2352426,15754,53301,6209,25626,3243,14481,2966,11145,171,2277,12372,40264,12543,42541,245,-385
12540,,,"Bakersfield, CA",Metropolitan Statistical Area,909235,909997,917673,762,7676,3014,12371,2014,7682,1000,4689,-46,-184,-253,2989,-299,2805,61,182
12580,,,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,2844510,2841691,2838327,-2819,-3364,7799,30824,7783,30933,16,-109,94,1996,-2927,-5561,-2833,-3565,-2,310
12620,,,"Bangor, ME",Metropolitan Statistical Area,152199,152007,152765,-192,758,318,1164,526,2029,-208,-865,3,72,21,1549,24,1621,-8,2
12700,,,"Barnstable Town, MA",Metropolitan Statistical Area,228996,228969,232411,-27,3442,362,1419,767,3360,-405,-1941,3,152,421,5296,424,5448,-46,-65
12940,,,"Baton Rouge, LA",Metropolitan Statistical Area,870569,870178,871905,-391,1727,2432,10236,2203,8970,229,1266,29,616,-666,-181,-637,435,17,26
12980,,,"Battle Creek, MI",Metropolitan Statistical Area,134310,134113,133819,-197,-294,326,1419,434,1769,-108,-350,0,43,-85,-11,-85,32,-4,24
13020,,,"Bay City, MI",Metropolitan Statistical Area,103856,103594,102985,-262,-609,230,875,418,1521,-188,-646,0,-1,-66,20,-66,19,-8,18
13140,,,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,397565,396958,395419,-607,-1539,1118,4849,1235,4716,-117,133,2,158,-500,-1848,-498,-1690,8,18
13220,,,"Beckley, WV",Metropolitan Statistical Area,115079,114707,113698,-372,-1009,291,1120,512,2061,-221,-941,1,18,-143,-103,-142,-85,-9,17
13380,,,"Bellingham, WA",Metropolitan Statistical Area,226847,227304,228831,457,1527,511,1934,501,2098,10,-164,11,156,441,1512,452,1668,-5,23
13460,,,"Bend, OR",Metropolitan Statistical Area,198253,199355,204801,1102,5446,483,1789,426,1913,57,-124,-1,-25,1050,5663,1049,5638,-4,-68
13740,,,"Billings, MT",Metropolitan Statistical Area,184167,184567,187037,400,2470,490,1885,526,2072,-36,-187,4,105,436,2562,440,2667,-4,-10
13780,,,"Binghamton, NY",Metropolitan Statistical Area,247138,246554,245220,-584,-1334,592,2348,816,3031,-224,-683,1,116,-349,-811,-348,-695,-12,44
13820,,,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1115289,1114710,1114262,-579,-448,2934,12663,3449,13439,-515,-776,-7,282,-51,-2,-58,280,-6,48
13900,,,"Bismarck, ND",Metropolitan Statistical Area,133626,133666,134417,40,751,415,1540,380,1352,35,188,2,40,5,499,7,539,-2,24
13980,,,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area,166378,166111,165293,-267,-818,331,1242,470,1720,-139,-478,11,150,-140,-494,-129,-344,1,4
14010,,,"Bloomington, IL",Metropolitan Statistical Area,170954,170870,170889,-84,19,466,1663,373,1474,93,189,14,172,-198,-381,-184,-209,7,39
14020,,,"Bloomington, IN",Metropolitan Statistical Area,161039,160815,161321,-224,506,309,1251,351,1488,-42,-237,16,315,-202,393,-186,708,4,35
14100,,,"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,82863,82782,82959,-81,177,196,775,264,1105,-68,-330,0,9,-8,493,-8,502,-5,5
14260,,,"Boise City, ID",Metropolitan Statistical Area,764718,769581,795268,4863,25687,2128,8299,1663,6602,465,1697,-8,51,4367,24210,4359,24261,39,-271
14460,,,"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,4941632,4936511,4899932,-5121,-36579,12225,47684,11417,46648,808,1036,811,10505,-6737,-48040,-5926,-37535,-3,-80
14500,,,"Boulder, CO",Metropolitan Statistical Area,330758,330811,329543,53,-1268,605,2415,550,2319,55,96,8,191,-11,-1604,-3,-1413,1,49
14540,,,"Bowling Green, KY",Metropolitan Statistical Area,179639,179978,182594,339,2616,504,2194,478,1951,26,243,1,137,308,2235,309,2372,4,1
14740,,,"Bremerton-Silverdale-Port Orchard, WA",Metropolitan Statistical Area,275611,275660,274314,49,-1346,723,2755,662,2832,61,-77,-4,42,3,-1331,-1,-1289,-11,20
14860,,,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,957419,955895,959768,-1524,3873,2291,9146,2129,8696,162,450,191,1810,-1889,1454,-1698,3264,12,159
15180,,,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,421017,421191,423029,174,1838,1401,5859,804,3462,597,2397,-3,-18,-436,-640,-439,-658,16,99
15260,,,"Brunswick, GA",Metropolitan Statistical Area,113495,113492,113963,-3,471,248,1140,366,1603,-118,-463,0,23,122,900,122,923,-7,11
15380,,,"Buffalo-Cheektowaga, NY",Metropolitan Statistical Area,1166902,1165506,1162336,-1396,-3170,2967,11201,3640,14355,-673,-3154,45,668,-724,-924,-679,-256,-44,240
15500,,,"Burlington, NC",Metropolitan Statistical Area,171415,171842,173877,427,2035,474,1795,569,2076,-95,-281,2,3,520,2319,522,2322,0,-6
15540,,,"Burlington-South Burlington, VT",Metropolitan Statistical Area,225562,225563,226611,1,1048,526,1875,533,1913,-7,-38,7,207,3,841,10,1048,-2,38
15680,,,"California-Lexington Park, MD",Metropolitan Statistical Area,113777,113953,114468,176,515,330,1337,270,1067,60,270,-2,33,114,185,112,218,4,27
15940,,,"Canton-Massillon, OH",Metropolitan Statistical Area,401574,401046,400525,-528,-521,1101,4069,1442,5481,-341,-1412,2,52,-164,777,-162,829,-25,62
15980,,,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,760822,764679,787976,3857,23297,1639,6677,2278,9861,-639,-3184,94,949,4504,25864,4598,26813,-102,-332
16020,,,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,97517,97481,97699,-36,218,266,1043,329,1280,-63,-237,2,67,28,376,30,443,-3,12
16060,,,"Carbondale-Marion, IL",Metropolitan Statistical Area,133435,133297,132907,-138,-390,361,1292,391,1619,-30,-327,1,83,-106,-158,-105,-75,-3,12
16180,,,"Carson City, NV",Metropolitan Statistical Area,58639,58677,58993,38,316,168,515,244,853,-76,-338,0,14,117,640,117,654,-3,0
16220,,,"Casper, WY",Metropolitan Statistical Area,79955,80229,79555,274,-674,251,901,213,930,38,-29,1,5,235,-655,236,-650,0,5
16300,,,"Cedar Rapids, IA",Metropolitan Statistical Area,276520,276446,275435,-74,-1011,792,3051,691,2914,101,137,8,225,-179,-1387,-171,-1162,-4,14
16540,,,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,155932,155874,156289,-58,415,423,1679,470,1932,-47,-253,0,87,-4,559,-4,646,-7,22
16580,,,"Champaign-Urbana, IL",Metropolitan Statistical Area,222538,222123,222696,-415,573,588,2317,500,1903,88,414,23,566,-537,-455,-514,111,11,48
16620,,,"Charleston, WV",Metropolitan Statistical Area,258859,257840,255020,-1019,-2820,606,2433,1066,4213,-460,-1780,4,104,-547,-1162,-543,-1058,-16,18
16700,,,"Charleston-North Charleston, SC",Metropolitan Statistical Area,799636,802961,813052,3325,10091,2308,9307,1781,8113,527,1194,45,666,2733,8216,2778,8882,20,15
16740,,,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,2660329,2669665,2701046,9336,31381,7396,30082,5930,25345,1466,4737,203,2682,7561,23970,7764,26652,106,-8
16820,,,"Charlottesville, VA",Metropolitan Statistical Area,221524,221522,222688,-2,1166,530,2136,516,2083,14,53,7,275,-11,851,-4,1126,-12,-13
16860,,,"Chattanooga, TN-GA",Metropolitan Statistical Area,562647,563599,567641,952,4042,1560,6041,1741,7172,-181,-1131,-2,86,1145,5058,1143,5144,-10,29
16940,,,"Cheyenne, WY",Metropolitan Statistical Area,100512,100690,100863,178,173,322,1125,263,996,59,129,2,11,118,15,120,26,-1,18
16980,,,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,9618502,9601605,9509934,-16897,-91671,25664,100116,21923,88978,3741,11138,58,4284,-20902,-106897,-20844,-102613,206,-196
17020,,,"Chico, CA",Metropolitan Statistical Area,211632,210083,208309,-1549,-1774,504,2022,607,2383,-103,-361,2,14,-1451,-1453,-1449,-1439,3,26
17140,,,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,2256884,2257667,2259935,783,2268,6567,25985,6062,25266,505,719,82,1509,198,-213,280,1296,-2,253
17300,,,"Clarksville, TN-KY",Metropolitan Statistical Area,320535,321607,328304,1072,6697,1331,5200,756,3050,575,2150,-12,-69,482,4665,470,4596,27,-49
17420,,,"Cleveland, TN",Metropolitan Statistical Area,126164,126310,127938,146,1628,330,1273,433,1662,-103,-389,0,34,251,1993,251,2027,-2,-10
17460,,,"Cleveland-Elyria, OH",Metropolitan Statistical Area,2088251,2085357,2075662,-2894,-9695,5264,20924,6549,25851,-1285,-4927,99,1177,-1619,-6089,-1520,-4912,-89,144
17660,,,"Coeur d'Alene, ID",Metropolitan Statistical Area,171362,172646,179789,1284,7143,487,1782,463,1815,24,-33,-1,-27,1261,7310,1260,7283,0,-107
